user_id,followers_count,following_count,status_count,created_at,favorites_count,verified
833964896404508672,880,311,1167,Tue Feb 21 09:01:40 +0000 2017,1343,False
14111628,3981,4994,82894,Mon Mar 10 05:08:33 +0000 2008,903,False
205971568,2359,2271,142464,Fri Oct 22 00:41:36 +0000 2010,3044,False
128762218,1126,1880,11517,Fri Apr 02 03:41:26 +0000 2010,181,False
44385059,835,3697,26127,Wed Jun 03 15:46:54 +0000 2009,8209,False
1647573157,92623,1280,38681,Mon Aug 05 11:08:00 +0000 2013,26348,True
1006460059973496832,2000,53,297,Tue Jun 12 08:55:52 +0000 2018,0,False
26846548,410,1399,5711,Thu Mar 26 20:47:50 +0000 2009,7741,False
34383891,64570,62372,475343,Wed Apr 22 20:17:58 +0000 2009,72493,False
1616518489,550,280,7947,Wed Jul 24 01:18:48 +0000 2013,11532,False
288218865,175,19,1225,Tue Apr 26 13:13:39 +0000 2011,27,False
32480859,71,2,128808,Fri Apr 17 17:05:17 +0000 2009,0,False
982651455822815232,439,289,19299,Sat Apr 07 16:08:58 +0000 2018,37010,False
25288281,64,1179,1429,Thu Mar 19 13:12:16 +0000 2009,14612,False
155055403,485,1421,152070,Sun Jun 13 00:50:35 +0000 2010,0,False
710706683291443200,67,474,22394,Fri Mar 18 05:57:32 +0000 2016,1807,False
438494130,151,210,82326,Fri Dec 16 17:12:00 +0000 2011,3,False
317980134,16885,2459,67629,Wed Jun 15 19:37:31 +0000 2011,8740,True
823403285683924992,72,259,4133,Mon Jan 23 05:33:36 +0000 2017,3527,False
18013279,29786,800,35824,Wed Dec 10 05:37:51 +0000 2008,2253,True
4611508512,4172,5001,39287,Sun Dec 20 10:35:24 +0000 2015,31566,False
16494919,4303,4906,28193,Sun Sep 28 03:41:44 +0000 2008,3027,False
4355387603,4,86,988,Wed Dec 02 23:25:34 +0000 2015,419,False
3387828299,490,1088,844,Wed Jul 22 19:18:53 +0000 2015,5312,False
18124790,94185,13204,73270,Sun Dec 14 22:59:12 +0000 2008,19421,True
586719195,328,185,22492,Mon May 21 15:37:23 +0000 2012,15891,False
785213216854937600,11964,13148,241873,Sun Oct 09 20:19:54 +0000 2016,301417,False
1349402785,1341,801,35225,Sat Apr 13 14:35:35 +0000 2013,148772,False
3308329702,509,220,1588,Thu Jun 04 15:01:10 +0000 2015,115,False
63987577,405,861,7244,Sat Aug 08 15:47:25 +0000 2009,120652,False
850063615,1316,1288,21937,Thu Sep 27 22:27:51 +0000 2012,52750,False
146244816,99,251,2183,Thu May 20 23:44:58 +0000 2010,123,False
60628575,236670,752,28711,Mon Jul 27 15:40:51 +0000 2009,1967,True
952999382261084162,909,1750,49455,Mon Jan 15 20:22:13 +0000 2018,45384,False
982981684256620544,17542,18056,231806,Sun Apr 08 14:01:11 +0000 2018,16709,False
980714168,13492,1154,284532,Fri Nov 30 15:48:23 +0000 2012,82477,False
77809646,1034,1565,12683,Sun Sep 27 19:21:39 +0000 2009,0,False
166585184,1591,4254,55775,Wed Jul 14 14:37:43 +0000 2010,265872,False
284213310,1887,371,14218,Mon Apr 18 21:21:26 +0000 2011,20510,False
108142050,479,3816,26643,Mon Jan 25 00:27:06 +0000 2010,7774,False
54462645,2034,2702,14461,Tue Jul 07 05:35:37 +0000 2009,62917,False
781991185695051776,2820,3396,299177,Fri Sep 30 22:56:42 +0000 2016,84504,False
125487569,179,361,7511,Tue Mar 23 00:05:39 +0000 2010,3059,False
786988364,96,93,9458,Tue Aug 28 13:16:00 +0000 2012,10234,False
134573450,31,139,4800,Sun Apr 18 20:46:30 +0000 2010,72,False
977346339586691072,1316,3585,24117,Sat Mar 24 00:48:20 +0000 2018,36380,False
2587603297,1659,2838,68847,Wed Jun 25 14:03:33 +0000 2014,435593,False
275821122,202,384,3293,Sat Apr 02 02:25:54 +0000 2011,2201,False
224253810,25694,746,27570,Wed Dec 08 14:57:50 +0000 2010,9767,False
368444776,1389,1497,6480,Mon Sep 05 17:07:08 +0000 2011,1487,False
211283590,11,142,57,Tue Nov 02 20:47:15 +0000 2010,0,False
768070610,857,1276,221752,Sun Aug 19 19:10:44 +0000 2012,527,False
77958508,1112,4992,3566,Mon Sep 28 08:07:16 +0000 2009,93,False
19192409,2834,3201,23160,Mon Jan 19 17:35:33 +0000 2009,102,False
11282612,2223,4281,15127,Tue Dec 18 05:21:54 +0000 2007,8198,False
404969583,42,59,225,Fri Nov 04 17:23:42 +0000 2011,46,False
581997381,993,860,35525,Wed May 16 15:18:03 +0000 2012,18082,False
252881635,147,826,3994,Wed Feb 16 03:11:18 +0000 2011,1501,False
976927777,12,19,9717,Wed Nov 28 20:38:30 +0000 2012,11,False
4836077445,169,606,6709,Fri Jan 22 19:42:07 +0000 2016,4428,False
15798331,267,0,16503,Sun Aug 10 14:43:19 +0000 2008,1,False
277294883,160,15,3436,Tue Apr 05 02:39:20 +0000 2011,0,False
294825539,383,923,48758,Sat May 07 21:04:24 +0000 2011,4271,False
746067583963631616,535,228,2965,Thu Jun 23 19:49:08 +0000 2016,270,False
58261563,1533,4817,344979,Sun Jul 19 18:39:10 +0000 2009,5184,False
122046037,215,1088,5726,Thu Mar 11 12:15:11 +0000 2010,19171,False
138148126,317,379,16368,Wed Apr 28 19:15:48 +0000 2010,0,False
